Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Dur	Nep	Ratio	Inter	startTime
2	3	0	2	2	3	2	1	1	2	1	1	0	0	1	1	0	0	1	0	0	2	1	2	0	525
2	3	0	2	1	3	2	0	1	1	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	453
0	3	2	2	0	0	1	0	1	1	2	5	5	5	5	0	3	0	0	0	0	1	0	0	0	420
0	3	1	2	1	3	1	1	1	2	2	5	5	5	5	2	3	0	0	0	0	4	0	0	0	510
0	3	1	2	1	3	1	0	1	2	2	5	5	5	5	2	3	0	0	0	0	2	0	0	0	560
4	3	2	2	1	3	1	1	1	2	1	0	0	0	0	5	5	5	0	0	0	2	0	0	0	584
1	3	1	2	1	1	2	1	1	2	2	0	5	4	0	4	4	3	5	0	0	3	0	0	0	470
0	1	0	2	1	1	1	1	1	2	0	5	4	4	5	2	1	2	3	0	0	4	0	0	0	487
3	2	2	2	1	2	2	1	1	2	0	2	1	1	1	3	2	2	4	0	0	4	0	0	0	525
3	2	2	2	1	2	2	0	1	0	2	2	1	1	1	3	2	2	4	0	0	0	0	0	0	525
2	1	0	2	1	2	1	0	1	2	1	2	4	3	3	0	4	4	0	0	0	1	0	0	0	510
1	3	1	2	1	3	2	1	1	2	1	3	4	4	4	0	0	2	0	0	0	2	0	0	0	425
1	2	0	2	0	3	1	1	1	2	0	5	5	4	5	3	3	3	1	0	0	2	0	0	0	440
3	3	0	2	1	3	2	0	1	1	2	1	0	0	1	0	0	0	4	0	0	1	0	0	0	480
2	1	0	2	1	2	1	1	1	2	0	4	1	4	2	4	3	3	0	0	0	1	0	0	0	450
4	3	0	2	1	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	3	0	0	0	480
4	3	0	2	1	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	1	0	0	0	470
1	2	2	2	1	3	2	0	1	0	2	5	4	3	3	2	4	3	3	0	0	4	0	0	0	415
0	1	0	2	0	1	1	1	1	2	0	5	5	4	5	2	2	2	3	0	0	1	0	0	0	590
1	1	0	2	1	2	0	0	1	2	0	1	4	4	2	3	3	2	4	0	0	1	1	0	3	474
0	1	0	2	0	3	0	1	0	2	0	5	5	5	5	0	2	2	1	0	0	2	0	0	0	525
2	1	3	2	1	1	1	0	1	1	0	1	1	0	2	2	2	5	0	0	0	1	0	0	0	465
4	4	0	2	3	1	2	1	1	0	0	0	0	0	0	5	5	5	5	0	0	3	1	2	2	430
3	1	0	3	1	0	0	1	0	2	0	0	0	1	0	5	5	4	5	0	0	4	0	0	0	375
