Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	
4	3	3	0	1	3	2	1	1	2	1	3	1	0	2	4	4	3	4	0	0	1	76
1	2	2	0	1	3	1	1	1	2	0	5	4	4	5	1	1	1	1	0	0	1	56
0	3	0	0	1	3	2	1	1	2	2	3	4	4	3	1	3	2	0	0	0	1	49
1	3	0	0	1	2	1	0	1	1	2	2	4	3	2	4	3	3	4	0	0	0	43
2	3	0	0	0	3	1	1	1	2	2	5	4	4	4	1	1	1	3	0	0	1	69
2	3	1	0	1	1	1	0	1	2	2	4	4	3	3	1	0	1	2	0	0	1	48
2	2	0	0	1	2	2	1	1	2	0	3	1	1	4	2	1	2	2	0	0	1	48
3	3	0	0	1	1	2	0	1	2	2	3	3	1	1	4	3	3	4	0	0	2	53
3	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	73
4	3	0	0	2	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	49
2	3	1	0	0	1	2	1	1	2	1	1	3	1	1	3	5	5	4	0	0	4	53
4	3	2	0	1	0	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	1	41
2	2	3	0	1	2	1	1	1	0	1	1	3	1	1	3	4	4	4	0	0	1	53
4	1	0	0	1	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	4	74
4	1	0	0	0	0	1	0	1	2	0	1	1	0	0	0	5	5	5	0	0	2	29
2	3	3	0	1	2	1	0	1	1	2	1	1	0	2	2	2	2	3	0	0	1	56
4	2	3	0	1	1	1	0	1	0	2	1	0	0	0	5	5	5	5	0	0	1	50
3	3	1	0	0	1	1	1	1	2	1	1	1	0	0	0	0	5	3	0	0	2	48
3	2	1	0	1	1	1	1	1	2	0	3	1	0	2	0	4	3	0	0	0	1	43
2	3	2	0	1	3	2	0	1	1	2	3	3	1	4	3	2	3	4	0	0	2	34
2	3	0	0	0	2	1	0	1	2	2	1	2	0	1	0	0	2	0	0	0	1	49
2	3	0	0	1	3	1	1	1	2	1	3	1	0	2	2	2	2	3	0	0	1	57
1	3	0	0	0	1	1	1	1	2	2	5	5	5	5	3	3	0	0	0	0	4	27
