Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration
2	1	0	2	1	2	1	0	1	2	1	2	4	3	3	0	4	4	0	0	0	435
1	3	1	2	1	3	2	1	1	2	1	3	4	4	4	0	0	2	0	0	0	505
1	2	0	2	0	3	1	1	1	2	0	5	5	4	5	3	3	3	1	0	0	510
3	3	0	2	1	3	2	0	1	1	2	1	0	0	1	0	0	0	4	0	0	360
2	1	0	2	1	2	1	1	1	2	0	4	1	4	2	4	3	3	0	0	0	420
4	3	0	2	1	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	540
4	3	0	2	1	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	310
1	2	2	2	1	3	2	0	1	0	2	5	4	3	3	2	4	3	3	0	0	710
0	1	0	2	0	1	1	1	1	2	0	5	5	4	5	2	2	2	3	0	0	430
1	1	0	2	1	2	0	0	1	2	0	1	4	4	2	3	3	2	4	0	0	429
0	1	0	2	0	3	0	1	0	2	0	5	5	5	5	0	2	2	1	0	0	510
2	1	3	2	1	1	1	0	1	1	0	1	1	0	2	2	2	5	0	0	0	435
4	4	0	2	3	1	2	1	1	0	0	0	0	0	0	5	5	5	5	0	0	530
3	1	0	3	1	0	0	1	0	2	0	0	0	1	0	5	5	4	5	0	0	585
0	4	3	3	1	1	2	1	1	0	0	1	1	0	2	3	4	5	0	0	0	560
1	2	2	3	1	3	1	1	1	2	0	1	0	0	2	4	5	5	0	0	0	555
1	3	3	3	1	3	1	0	1	1	2	3	4	4	2	3	4	2	4	0	0	315
0	1	0	3	0	3	1	1	1	2	1	5	5	4	5	0	0	0	0	0	0	680
3	3	0	3	1	3	1	1	1	2	1	3	1	1	1	3	3	2	4	0	0	450
3	3	0	3	1	3	1	0	0	1	2	3	1	1	1	3	3	2	4	0	0	285
2	3	0	3	1	3	2	1	1	2	2	5	4	4	4	2	0	0	3	0	0	480
4	1	3	3	1	0	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	538
0	0	0	3	1	0	0	1	0	0	1	2	0	0	1	3	5	5	4	0	0	510
0	1	0	3	0	1	0	0	1	2	1	5	5	5	5	0	0	0	0	0	0	549
0	1	0	3	0	0	1	1	1	2	1	5	5	5	5	1	0	0	1	0	0	500
4	2	2	3	1	1	2	0	1	2	0	0	0	0	0	5	5	5	5	0	0	525
3	1	0	3	2	0	1	1	1	2	2	0	1	0	0	4	5	4	5	0	0	540
1	2	1	3	1	3	2	1	1	2	0	4	4	3	1	4	3	3	4	0	0	480
2	3	3	4	1	3	2	1	1	2	2	4	3	1	2	2	3	3	3	0	0	565
2	3	3	4	1	3	2	0	1	2	2	4	3	1	2	2	3	3	3	0	0	235
2	2	1	4	1	2	1	1	1	2	0	1	2	0	1	3	0	0	4	0	0	340
1	2	0	4	1	3	2	1	1	2	0	4	4	4	3	1	1	1	1	0	0	435
0	2	2	4	1	3	1	1	1	2	0	5	5	4	5	0	0	0	0	0	0	582
1	3	0	4	0	2	1	1	1	2	1	5	4	4	5	3	3	3	0	0	0	413
3	2	2	4	1	0	1	1	1	2	0	4	4	2	2	0	1	1	4	0	0	560
1	1	0	4	1	2	1	1	1	2	2	5	5	4	4	2	2	0	4	0	0	575
4	3	0	4	1	3	2	0	1	2	2	1	1	0	1	0	0	5	0	0	0	530
3	3	2	4	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	180
2	3	3	4	1	1	1	1	1	2	1	3	1	2	2	4	3	3	3	0	0	515
4	3	0	4	2	3	1	1	1	2	1	0	0	1	0	5	5	4	5	0	0	450
2	3	3	5	1	3	1	1	1	2	1	1	4	3	3	2	1	2	3	0	0	230
3	3	3	5	1	2	1	1	1	2	1	0	0	0	0	5	5	4	5	0	0	582
3	3	3	5	1	2	1	0	1	1	2	0	0	0	0	5	5	4	5	0	0	322
1	3	0	5	1	1	0	1	0	2	2	2	0	0	2	0	3	4	0	0	0	510
1	3	0	5	1	1	0	0	0	2	2	2	0	0	2	0	3	4	0	0	0	640
0	1	0	6	0	2	1	0	1	2	0	5	5	5	5	1	1	0	0	0	0	540
0	3	0	6	2	0	0	1	1	1	1	5	4	4	5	2	2	2	0	0	0	538
2	1	0	6	1	0	1	0	1	1	1	0	3	2	1	5	5	5	5	0	0	330
3	2	2	0	1	2	1	1	1	2	0	1	0	0	1	0	3	5	4	0	0	535
3	2	2	0	1	2	1	0	1	0	2	1	0	0	1	0	3	5	4	0	0	120
2	1	0	0	0	1	1	1	1	2	0	4	1	4	2	4	3	3	0	0	0	455
4	3	2	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	550
2	3	3	0	1	3	1	1	1	2	1	3	4	3	1	0	0	0	0	0	0	630
2	2	1	0	1	0	1	1	1	2	0	1	3	0	1	3	3	5	4	0	0	555
3	3	1	0	1	3	2	1	1	2	1	0	1	0	0	5	5	5	5	0	0	540
3	3	1	0	1	3	2	0	1	1	2	0	1	0	0	5	5	5	5	0	0	440
